IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.118.70,2052,2052,false,SIN,Asia Pacific,Singapore,13,4.48
47.74.22.88,8880,8880,false,NRT,Asia Pacific,Tokyo,85,4.48
47.245.113.117,2095,2095,false,SIN,Asia Pacific,Singapore,11,4.48
47.236.114.167,2087,2087,true,SIN,Asia Pacific,Singapore,113,4.48
47.91.25.66,2087,2087,true,NRT,Asia Pacific,Tokyo,147,4.48
47.236.11.84,80,80,false,SIN,Asia Pacific,Singapore,13,4.48
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,101,4.47
8.222.212.219,2053,2053,true,SIN,Asia Pacific,Singapore,189,4.47
47.74.7.51,2052,2052,false,NRT,Asia Pacific,Tokyo,79,4.47
47.91.23.146,2082,2082,false,NRT,Asia Pacific,Tokyo,77,4.47
8.222.212.172,2086,2086,false,SIN,Asia Pacific,Singapore,15,4.47
8.222.223.34,2053,2053,true,SIN,Asia Pacific,Singapore,123,4.46
47.245.40.161,80,80,false,NRT,Asia Pacific,Tokyo,80,4.46
8.217.164.10,2052,2052,false,HKG,Asia Pacific,Hong Kong,35,4.46
47.245.115.6,2096,2096,true,SIN,Asia Pacific,Singapore,53,4.46
8.222.249.98,2052,2052,false,SIN,Asia Pacific,Singapore,34,4.46
47.245.118.70,80,80,false,SIN,Asia Pacific,Singapore,13,4.46
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,47,4.46
8.219.140.63,8080,8080,false,SIN,Asia Pacific,Singapore,10,4.45
8.222.224.162,2082,2082,false,SIN,Asia Pacific,Singapore,21,4.45
47.245.115.6,2052,2052,false,SIN,Asia Pacific,Singapore,24,4.45
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,50,4.45
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,75,4.45
47.74.23.99,2096,2096,true,NRT,Asia Pacific,Tokyo,192,4.45
47.76.77.103,2086,2086,false,HKG,Asia Pacific,Hong Kong,75,4.45
8.210.3.24,80,80,false,HKG,Asia Pacific,Hong Kong,56,4.44
47.245.42.162,2083,2083,true,NRT,Asia Pacific,Tokyo,239,4.44
8.219.197.111,443,443,true,SIN,Asia Pacific,Singapore,49,4.44
47.236.119.253,2095,2095,false,SIN,Asia Pacific,Singapore,9,4.44
8.217.193.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,58,4.44
47.91.21.127,2096,2096,true,NRT,Asia Pacific,Tokyo,161,4.43
8.210.117.18,80,80,false,HKG,Asia Pacific,Hong Kong,43,4.43
8.219.142.191,8880,8880,false,SIN,Asia Pacific,Singapore,15,4.43
47.243.162.49,2095,2095,false,HKG,Asia Pacific,Hong Kong,38,4.43
47.236.11.84,8080,8080,false,SIN,Asia Pacific,Singapore,49,4.43
8.219.161.129,2082,2082,false,SIN,Asia Pacific,Singapore,29,4.42
47.74.11.9,2053,2053,true,NRT,Asia Pacific,Tokyo,120,4.42
47.236.119.253,2096,2096,true,SIN,Asia Pacific,Singapore,86,4.42
47.245.39.28,2096,2096,true,NRT,Asia Pacific,Tokyo,165,4.42
47.236.116.182,2083,2083,true,SIN,Asia Pacific,Singapore,66,4.42
8.209.242.25,2082,2082,false,NRT,Asia Pacific,Tokyo,76,4.42
47.74.11.251,2052,2052,false,NRT,Asia Pacific,Tokyo,75,4.42
8.218.127.249,8880,8880,false,HKG,Asia Pacific,Hong Kong,71,4.41
47.236.116.26,80,80,false,SIN,Asia Pacific,Singapore,34,4.41
8.218.181.189,8080,8080,false,HKG,Asia Pacific,Hong Kong,47,4.41
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,78,4.41
47.236.97.90,8443,8443,true,SIN,Asia Pacific,Singapore,102,4.41
8.209.212.5,8080,8080,false,NRT,Asia Pacific,Tokyo,83,4.40
47.74.16.67,8880,8880,false,NRT,Asia Pacific,Tokyo,76,4.40
8.210.9.129,2095,2095,false,HKG,Asia Pacific,Hong Kong,63,4.40
47.76.49.246,2087,2087,true,HKG,Asia Pacific,Hong Kong,81,4.40
8.218.3.12,8880,8880,false,HKG,Asia Pacific,Hong Kong,58,4.39
47.74.0.183,8443,8443,true,NRT,Asia Pacific,Tokyo,185,4.39
47.74.15.117,2087,2087,true,NRT,Asia Pacific,Tokyo,111,4.39
8.209.215.247,2052,2052,false,NRT,Asia Pacific,Tokyo,75,4.39
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,110,4.38
